MANUFACTURER_NAME	MFG_CODE	PART_NUMBER	PRICE	MSRP	MAP_PRICE	SERIALIZED	TANGIBLE	WEIGHT	COUNTRY_OF_ORIGIN	PRODUCT_DESCRIPTION	CATEGORY	IN_STOCK	LOC_01	LOC_02	LOC_03	LOC_04	LOC_05	LOC_06	LOC_07	LOC_08	LOC_09	LOC_10	ORG
DATALOGIC SCANNING	DLS	ZSC2MEM103B	303.60	460.00		N	N	1	US	DATALOGIC ADC, MEMOR 10, 2 DAYS, 3 YEARS, COMPREHENSIVE, BATTERY	DLS.HARDWARE.DLS MEMOR 10..	0	0	0									121
HID FARGO	HID	2002PGGSN	7.21	12.73		N	Y	1.5	US	HID PACS, NCNR, ICLASS 16K/16, PRG INFO REQUIRED, DS ONLY, F/B GLOSS, SEQ#, NO SLOT. MOQ 100, PRICED PER CARD	HID.CONSUMABLES.HID ICLASS CARD..	0	0	0									121
DATALOGIC SCANNING	DLS	90ACC0323	14.71	25.00		Y	Y	0.2	VI	DATALOGIC ADC, ACCESSORY,TILT RISER,MGL34	DLS.HARDWARE.DLS MAGELLAN 3300HSI..	0	0	0									121
CHIEF	CHF	PACTP1	80.14	126.00		N	Y	2.45	TW	CHIEF, TOUCH PANEL STABILIZER KIT	CHF.HARDWARE.ACCESSORIES..	0	0	0									121
TSC AMERICA	TSC	257817-001	143.25	191.00		N	Y	1	TW	TSC, ACCESSORY FONT CARD,SIMPLIFIED CHINESE ANDALE FONT CARD	TSC.HARDWARE.ACCESSORIES..	0	0	0									121
TSC AMERICA	TSC	257818-001	143.25	191.00		N	Y	1	TW	TSC, ACCESSORY FONT CARD,TRADITIONAL CHINESE ANDALE FONT CARD	TSC.HARDWARE.ACCESSORIES..	0	0	0									121
TSC AMERICA	TSC	99-040A010-44LF-DNU	438.75	585.00		Y	Y	25	TW	TSC, TTP-225, PRINTER,203 DPI,5IPS,USB,SERIAL,LCD DISPLAY,INTERNAL,ETHERNET,USB HOST	TSC.HARDWARE.PRINTERS.LABEL.DESKTOP	0	0	0									121
CHIEF	CHF	PAC252	276.02	434.00		N	Y	19.85	TW	CHIEF, P-SERIES CPU/DVD/MEDIA PLAYER ADAPTER	CHF.HARDWARE.ACCESSORIES..	0	0	0									121
PANASONIC	PAN	FZ-SVTCHHLETCH	11.34	15.50		N	N	1	JP	PANASONIC US,WARRANTY,EDGE LASER ETCHING AT PNSCM, PER UNIT CHARGE FOR FZ-N1, FZ-A3, FZ-T1, FZ-L1 ,NCNR	PAN.SERVICES.WARRANTIES..	0	0	0									121
RAM MOUNT	RAM	RAP-299-3-UN11U	97.07	175.99		N	Y	1.75	US	RAM MOUNTS, RAM-A-CAN 2 UNVRSL CUP HOLDER RAM X-GRIP 12"	RAM.HARDWARE.ACCESSORIES..	0	0	0									121
