Item Description,Model #,Qty,Department,Product Type,Subcategory,Category,Retail,Ext. Retail,Brand,Weight,Ext. Weight,UPC
Roanhowe 24.13 in. Brown Rectangle Wood End Table with Shelf and Drawer,T769-3,1,Furniture,Living Room Furniture,Accent Tables,OUTDOOR SEASONAL,140.07,140.07,Signature DESIGN BY ASHLEY,49,49,"024052870428,"
"""Outdoor Kitchen Drawers 30 in. W x 10 in. H x 20 in. D, Horizontal Double BBQ Access Drawers Stainless Steel with Handle""",CTG30X10X200000,1,Outdoors,Outdoor Cooking,Outdoor Kitchens,OUTDOOR SEASONAL,135.99,135.99,SKYSHALO,31,31,"197988101277,"
"White Lightweight 3-Piece Expandable ABS Hardshell Spinner 8 Wheels  20""  24""  28"" Luggage Set with TSA Lock, Bumpers",LJYXB006AAK,1,Home Decor,Luggage,Luggage Sets,OUTDOOR SEASONAL,134.99,134.99,Merax,23.7,23.7,"197793944632,"
Metal Outdoor Bar Stool in Gray (2-Pack),CL-ST006GRB,1,Outdoors,Patio Furniture,Outdoor Bar Furniture,OUTDOOR SEASONAL,129.99,129.99,Crestlive Products,26.98,26.98,"744600541876,"
Mixed Brown Outdoor Plastic Rattan Wicker Outdoor Chaise Lounge Chair with Height Adjustable Backrest and White Cushion,862-005BN,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,129.99,129.99,Outsunny,350,350,"842525117777,"
Mixed Brown Outdoor Plastic Rattan Wicker Outdoor Chaise Lounge Chair with Height Adjustable Backrest and White Cushion,862-005BN,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,129.99,129.99,Outsunny,350,350,"842525117777,"
ONE+ 18V 9 in. Cordless Battery Edger with 2.0 Ah Battery and Charger,P2310,1,Outdoors,Outdoor Power Equipment,Trimmers & Edgers,OUTDOOR SEASONAL,129,129,RYOBI,25,25,"046396014948,"
Captiva Charcoal Gray Stationary Cast Aluminum Outdoor Dining Arm Chair (Set of 2),6700-81,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,125.99,125.99,HOMESTYLES,20,20,"095385890483,"
Captiva Charcoal Gray Stationary Cast Aluminum Outdoor Dining Arm Chair (Set of 2),6700-81,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,125.99,125.99,HOMESTYLES,20,20,"095385890483,"
Captiva Charcoal Gray Stationary Cast Aluminum Outdoor Dining Arm Chair (Set of 2),6700-81,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,125.99,125.99,HOMESTYLES,20,20,"095385890483,"
