sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
89770,B4-I3SWM30,1,0,1,2778.0,,
89771,B4-I4SWM30,1,0,1,3511.33,,
89772,B4-I5SWM30,1,1,0,3978.0,,
89773,B4-I6SWM30,1,0,1,5044.67,,
89774,241287812,3,2,1,10.13,,
89785,010-12021-00,0,0,0,6.99,,
89786,9610001102,3,1,2,36.43,,
89787,9610001103,3,1,2,51.43,,
89788,9610001104,0,0,0,55.0,,
89790,9108549661,0,0,0,117.86,,
89791,9108732761,0,0,0,940.48,,
89792,9108732760,0,0,0,1043.75,,
89793,9108732758,1,0,1,929.99,,
89794,9108549923,3,1,2,146.88,,
89795,9108750550,0,0,0,153.13,,
89796,9108549909,0,0,0,183.33,,
89797,9108549910,0,0,0,126.67,,
89798,9108549911,0,0,0,86.67,,
89799,9108549912,0,0,0,96.67,,
89800,9108549913,0,0,0,103.33,,
89801,1300715,10,10,0,31.1,,
89803,XRMAG15BNK,0,0,0,16.84,,
89804,XRMAG15BSRD,3,3,0,16.84,,
89805,XRMAG15BTO,2,2,0,16.84,,
89806,XRMAG15D,0,0,0,16.84,,
89807,XRMAG15FT,0,0,0,16.84,,
89808,XRMAG15GGH,3,3,0,16.84,,
89809,XRMAG15GGM,1,1,0,16.84,,
89810,XRMAG15HH,2,2,0,16.84,,
89811,XRMAG15HPU,0,0,0,16.84,,
89812,XRMAG15LLU,0,0,0,16.84,,
89813,XRMAG15PM,2,2,0,16.84,,
89814,XRMAG15RH,4,4,0,16.84,,
89815,XRMAG15RHU,1,1,0,16.84,,
89816,XRMAG15S,0,0,0,16.84,,
89817,XRMAG15SBM,0,0,0,16.84,,
89818,XRMAG15SFU,0,0,0,16.84,,
89819,XRMAG15SPM,1,1,0,16.84,,
89820,XRMAG15WHU,0,0,0,16.84,,
89821,XRMAG15YFT,0,0,0,16.84,,
89824,GP1600-19,0,0,0,341.81,,
89825,385880068,4,1,3,395.34,,
89826,BFGVLITH,1,0,1,153.49,,
89827,BFGHLITH,0,0,0,153.49,,
89828,BFGDUALCOMBO,0,0,0,190.5,,
89829,BFGDUALLITH,0,0,0,257.57,,
89830,XRMAG20BNK,0,0,0,18.06,,
89831,XRMAG20BSRD,3,3,0,18.06,,
89832,XRMAG20BTO,0,0,0,18.06,,
89833,XRMAG20D,3,3,0,18.06,,
89834,XRMAG20FT,0,0,0,18.06,,
89835,XRMAG20GGH,2,2,0,18.06,,
89836,XRMAG20GGM,2,2,0,18.06,,
89837,XRMAG20HH,3,3,0,18.06,,
89838,XRMAG20HPU,6,6,0,18.06,,
89839,XRMAG20HUU,0,0,0,18.06,,
89840,XRMAG20LLU,0,0,0,18.06,,
89841,XRMAG20PM,0,0,0,18.06,,
89842,XRMAG20RH,0,0,0,18.06,,
89843,XRMAG20RHU,0,0,0,18.06,,
89844,XRMAG20S,1,1,0,18.06,,
89845,XRMAG20SBM,0,0,0,18.06,,
89846,XRMAG20SFU,0,0,0,18.06,,
89847,XRMAG20SPM,0,0,0,18.06,,
89848,XRMAG20WHU,0,0,0,18.06,,
89849,XRMAG20YFT,1,1,0,18.06,,
89850,XRMAG20YFU,0,0,0,18.06,,
89851,XRMAG30BNK,2,2,0,20.04,,
89852,XRMAG30BSRD,0,0,0,20.04,,
89853,XRMAG30BTO,0,0,0,20.04,,
89854,XRMAG30D,0,0,0,20.04,,
89855,XRMAG30FT,0,0,0,20.04,,
89856,XRMAG30GGH,0,0,0,20.04,,
89857,XRMAG30GGM,6,6,0,20.04,,
89858,XRMAG30HH,3,3,0,20.04,,
89859,XRMAG30HPU,0,0,0,20.04,,
89860,XRMAG30HUU,0,0,0,20.04,,
89861,XRMAG30LLU,0,0,0,20.04,,
89862,XRMAG30PM,1,1,0,20.04,,
89863,XRMAG30RH,0,0,0,20.04,,
89864,XRMAG30RHU,0,0,0,20.04,,
89865,XRMAG30S,0,0,0,20.04,,
89866,XRMAG30SBM,3,3,0,20.04,,
89867,XRMAG30SFC,0,0,0,20.04,,
89868,XRMAG30SFU,0,0,0,20.04,,
89869,XRMAG30SPM,0,0,0,20.04,,
